state,value
Alabama,1.0078997976588613
Alaska,6.159010971383146
Arkansas,6.159010971383146
Arizona,0.5856513096296259
California,0.4583121872289679
Colorado,1.0341651185096172
Connecticut,0.36415330510440863
Delaware,0.739750522624435
District of Columbia,0
Florida,0.03516701285714289
Georgia,0.2546936956521752
Hawaii,1.0530829085631421
Iowa,0.3981968217391282
Idaho,nan
Illinois,1.1797780549450538
Indiana,1.262985229323308
Kansas,1.5446567376311833
Kentucky,0.5178980624999995
Louisiana,nan
Maine,0.8545293538575681
Maryland,0.891800107251521
Massachusetts,0.7164238699690397
Michigan,nan
Minnesota,0.7045286032210847
Missouri,1.3917258158844774
Mississippi,nan
Montana,1.3917258158844774
North Carolina,0.2710792739872073
North Dakota,0.12111761585365843
Nebraska,nan
New Hampshire,0.8265650504201696
New Jersey,0.29060264733969926
New Mexico,0.6866199644886364
Nevada,0.39204437400318976
New York,nan
Ohio,2.2240255519280203
Oklahoma,0.6958064209932273
Oregon,0.4651759670329669
Pennsylvania,1.3482495694618293
Rhode Island,0.33042173119777235
South Carolina,nan
South Dakota,0.364561059543231
Tennessee,0.10159327645788312
Texas,0.2588715685941044
Utah,0.2511924246031747
Virginia,0.38735937192755343
Vermont,nan
Washington,0.8137348839285707
Wisconsin,6.159010971383146
West Virginia,6.159010971383146
Wyoming,6.159010971383146
